datum,tijd,titel,taal,genre,speelduur,cast,synopsis,beschrijving,ticket-url,film-url
2020-09-05,20:30,Paradise Drifters met Q&A,Nederlands,drama,85 min,"Jonas Smulders, Tamar van Waning, Bilal El Mehdi Wahib",Exclusieve vertoning met Q&A met de in Zaanstad opgegroeide hoofdolspeelster Tamar van Waning en regisseur Mees Peijnenburg!,"<p class=""film__synopsis__intro""><strong>Exclusieve vertoning met Q&amp;A met de in Zaanstad opgegroeide hoofdolspeelster Tamar van Waning en regisseur Mees Peijnenburg!</strong></p><p>De dakloze jongeren Yousef, Chloe en Lorenzo hebben in hun jonge levens al flink wat te verduren gehad. Yousef (Bilal Wahib) is net 18 geworden en moet de jeugdzorginstelling verlaten, maar heeft geen familie om naar terug te keren. Chloe (Tamar van Waning) is ongewenst zwanger van haar stiefvader en is op zoek naar een uitweg. Lorenzo (Jonas Smulders) wil met drugssmokkel snel geld verdienen om zijn broer te helpen. Alle drie willen ze niets liever dan ontsnappen aan hun situatie. Door een toevallige ontmoeting vertrekken ze gezamenlijk naar Zuid-Europa. Ondanks de verschillende problemen waar ze individueel mee kampen, vinden ze tijdens deze reis onverwacht vertrouwen en geborgenheid bij elkaar; iets waar ze hun hele leven al naar op zoek zijn. Maar aan het echte leven valt moeilijk te ontsnappen en alles loopt anders dan verwacht. Paradise Drifters is een rauw en hoopgevend speelfilmdebuut van Mees Peijnenburg, met indringende personages die je in het hart raken.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/448954,https://www.de-fabriek.nl/films/416-paradise+drifters+met+qa.html
2020-09-06,16:30,Best of Ambacht in Beeld: A Time for Making & The Bowl met nagesprek,,documentaire,69 min,,Zondag 6 september is Ambacht in Beeld terug met deze Best of Ambacht in Beeld: A Time for Making & The Bowl. Na afloop volgt een nagesprek.,"<p class=""film__synopsis__intro""><strong>Zondag 6 september is Ambacht in Beeld terug met deze Best of Ambacht in Beeld: A Time for Making &amp; The Bowl. Na afloop volgt een nagesprek.</strong></p><p>In september en oktober vertonen we weer twee van de beste films van het Ambacht in Beeld filmfestival.</p><p>De documentaire <strong>A Time for Making</strong> gaat over het prachtige Canadese eiland Gabriola, met negen portretten van gedreven ambachtslieden.</p><p><strong>Een film van Phillip Vannini | Canada, 2018, 59 minuten </strong></p><p><strong>Let op: deze film is Engelstalig, zonder ondertiteling.</strong></p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/450279,https://www.de-fabriek.nl/films/282-best+of+ambacht+in+beeld+a+time+for+making+the+bowl+met+nagesprek.html
2020-09-10,15:00,Été 85,Frans,drama,,"Melvil Poupaud, Valeria Bruni Tedeschi",,"<p>Normandië, ‘85. De zomervakantie is net van start gegaan als de 16-jarige Alexis na het kapseizen van zijn zeilbootje wordt gered door David. Het is de start van bijzondere vriendschap. David is een droom van een vriend en de jongens hebben samen de tijd van hun leven. Maar zal de droom langer duren dan deze zomer?</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/454512,https://www.de-fabriek.nl/films/426-ete+85.html
2020-09-03,15:00,Babyteeth,Engels,drama,120 min,"Eliza Scanlen, Ben Mendelsohn, Toby Wallace, Essie Davis",Babyteeth is de verrassende debuutfilm van Shannon Murphy (Killing Eve): een eigenzinnig en bitterzoet verhaal over de zieke Milla en haar eerste grote liefde.,"<p class=""film__synopsis__intro""><strong>Babyteeth is de verrassende debuutfilm van Shannon Murphy (Killing Eve): een eigenzinnig en bitterzoet verhaal over de zieke Milla en haar eerste grote liefde.</strong></p><p>Babyteeth is de verrassende debuutfilm van Shannon Murphy (Killing Eve): een eigenzinnig en bitterzoet verhaal over de zieke Milla en haar eerste grote liefde. Henry en Anna’s grootste nachtmerrie wordt werkelijkheid wanneer hun 16-jarige dochter ernstig ziek blijkt. Wanneer Milla (Eliza Scanlen, Little Women) en de rebelse Moses (Toby Wallace) elkaar bij toeval ontmoeten, ontstaat er direct een bijzondere band tussen de twee tegenpolen. Haar ouders zijn in shock door de komst van Milla’s nieuwe vriendje, maar gooien alle pedagogische strategieën overboord om hun dochter gelukkig te zien. Met niets meer te verliezen stort Milla zich op het leven, maar hoe ver ga je voor de liefde? Babyteeth is de verrassende debuutfilm van Shannon Murphy (Killing Eve): een eigenzinnig en bitterzoet verhaal over de zieke Milla en haar eerste grote liefde.werd geselecteerd voor de competitie van het Filmfestival van Venetië, waar Toby Wallace de prijs won voor Beste Nieuw Acteertalent. Ook de talentvolle Eliza Scanlen behoort tot de nieuwe lichting veelbelovende actrices; ze was eerder te zien in de HBO serie Sharp Objects en in Greta Gerwig’s film Little Women. Na het regisseren van het derde seizoen van de hitserie Killing Eve, reisde Shannon Murphy voor Babyteeth af naar het IFFR (International Film Festival Rotterdam), waar de film werd omarmd door het publiek.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/454515,https://www.de-fabriek.nl/films/420-babyteeth.html
2020-08-21,20:15,Once Were Brothers met live muziek Misha Sprenger,Engels,documentaire,100 min,"Bruce Springsteen, Martin Scorsese, Bob Dylan, Marilyn Monroe, Eric Clapton, Van Morrison",Op 21 augustus is Once Were Brothers te zien met live muziek! Vooraf in de zaal brengt de Zaanse muzikant Misha Sprenger een ode aan The Band. In Café Fabriek vindt later een langer concert plaats. Voor zowel zaal als café geldt: max. 31 plekken en wie een kaartje heeft voor de film heeft ook plek in het café. Dit is tevens de aftrap van een nieuwe programmareeks muziekfilms met livemuziek i.s.m. Café Fabriek!,"<p class=""film__synopsis__intro""><strong>Op 21 augustus is Once Were Brothers te zien met live muziek! Vooraf in de zaal brengt de Zaanse muzikant Misha Sprenger een ode aan The Band. In Café Fabriek vindt later een langer concert plaats. Voor zowel zaal als café geldt: max. 31 plekken en wie een kaartje heeft voor de film heeft ook plek in het café. Dit is tevens de aftrap van een nieuwe programmareeks muziekfilms met livemuziek i.s.m. Café Fabriek!</strong></p><p>Een hele fijne documentaire over ‘The Band’, legendarische muziekgroep uit de jaren ’60, die niet alleen het subgenre ‘Americana’ uitvonden, maar waarvan de leden “three of the greatest white singers in rock history,” waren aldus de ‘Boss’ Springsteen. Vol muziek en begeleid door enthousiaste fans als Bruce Springsteen, Martin Scorsese, Eric Clapton, Taj Mahal en Van Morrison vertelt Robbie Robertson als een van de twee nog in leven zijnde bandleden het buitengewone en per definitie gekleurde verhaal van hun opkomst en ondergang. Nog bijzonder jong (Robbie Robertson is 16) worden de vijf geniale muzikanten als begeleidingsband bij elkaar gehaald. Hierdoor ontstaat er een zeldzaam hechte broederschap tussen hen. Na een mislukte toer met Bob Dylan trekken ze zich terug in een lelijk roze huis op het platteland van Woodstock. Ze leven er als een gezin, maken heel veel lol en musiceren elke dag in de kelder. En debuteren vervolgens met een plaat die zo vanzelfsprekend Rockabilly, Bob Dylan, Muddy Waters en Roots Music mengt dat ze pardoes het nieuw subgenre Americana introduceren. Drugs en ruzie luiden het einde in. Na acht jaar komt aan al die prachtige liedjes en die hechte broederschap een eind. Al sluit The Band die met het legendarische slotconcert The Last Waltz wel grandioos af. “There is no band that emphasises coming together and becoming greater than the sum of their parts than The Band. Simply their name The Band. That was it!” - Bruce Springsteen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/457890,https://www.de-fabriek.nl/films/443-once+were+brothers+met+live+muziek+misha+sprenger.html
2020-08-22,17:00,De beentjes van Sint-Hildegard,Nederlands,drama,103 min,"Herman Finkers, Johanna ter Steege",De beentjes van Sint-Hildegard is een komisch drama over het los willen breken uit vastgeroeste patronen.,"<p class=""film__synopsis__intro""><strong>De beentjes van Sint-Hildegard is een komisch drama over het los willen breken uit vastgeroeste patronen.</strong></p><p><strong>Check voor alle voorstellingen van deze film de kaartverkoop op deze pagina (klik op de gewenste blauwe tijd rechts) voordat u onze kant opkomt.</strong></p><p>Jan is 35 jaar getrouwd met Gedda. Gedda houdt zóveel van Jan dat hij het er benauwd van krijgt. Ze ziet het huwelijk als een vorm van begeleid wonen. Als hij een glas van tafel wil pakken is zij hem al voor en reikt hem het glas aan. Daarnaast bepaalt ze zijn kleding, vriendschappen, vakanties en al hun andere bezigheden. In een poging meer ruimte te krijgen maakt Jan dermate rare sprongen dat hij zijn huwelijk letterlijk in een gesloten afdeling ziet veranderen. Dochter Liesbeth zit met haar afgepaste en jaloerse vriend in eenzelfde schuitje als haar vader. In De beentjes van Sint-Hildegard nemen ze hun partner onder de loep en rijst de vraag: hoeveel liefde is te veel liefde?</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/456491,https://www.de-fabriek.nl/films/271-de+beentjes+van+sint+hildegard.html
2020-08-20,15:00,Hope Gap,Engels,drama,101 min,"Annette Benning, Bill Nighy, Josh O’Connor",,"<p>Grace (Annette Bening) en Edward (Bill Nighy) wonen in een klein dorp bij de klif van Hope Gap en zijn 29 jaar getrouwd. Als hun zoon Jamie (Josh O’Conner) een weekend komt logeren vertelt zijn vader hem dat hij van plan is om nog dezelfde dag zijn moeder te verlaten. Het eens zo hechte gezin wordt nu geconfronteerd met een nieuwe situatie waarin emoties als ongeloof, woede, onmacht maar ook hoop elkaar kruisen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/441956,https://www.de-fabriek.nl/films/288-hope+gap.html
2020-08-19,20:00,Berlin Alexanderplatz,"Duits, Engels",drama,183 min,"Welket Bungué, Jella Haase, Martin Wuttke, Albrecht Schuch, Nils Verkooijen",,"<p>Vluchteling Francis maakt de gevaarlijke oversteek van Afrika naar Europa. Als hij uiteindelijk in Berlijn aankomt en aan een nieuw leven begint, zweert hij om dat als een goed mens te doen. Door zijn status als illegale vluchteling blijkt dat echter praktisch onmogelijk. Francis valt in handen van drugsdealer Reinhold. Onder invloed van hem verandert Francis in Franz, een genadeloze crimineel. Het eerlijke leven wat hij probeerde te leiden, is opeens verder weg dan ooit.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455853,https://www.de-fabriek.nl/films/409-berlin+alexanderplatz.html
2020-08-19,20:15,Summerland,Engels,drama,99 min,"Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",,"<p>Om zich te kunnen concentreren op haar werk als schrijfster in het midden van WOII, sluit de jonge ambitieuze Alice (Gemma A.) zich op in haar werkkamer op de kliffen van Dover. Afgesloten van de buitenwereld probeert ze wetenschappelijk bewijs te vinden dat mythes en magie niet bestaan. Haar isolement wordt doorbroken wanneer ze de zorg voor de jonge, uit Londen gevluchte Frank op zich moet nemen. Door zijn onschuld en nieuwsgierigheid komen emoties en geheimen uit het verleden naar boven die ze lange tijd heeft proberen te onderdrukken.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455849,https://www.de-fabriek.nl/films/417-summerland.html
2020-08-19,15:15,"The Kingmaker, Imelda Marcos",Engels,documentaire,101 min,Imelda Marcos,"Voormalig first lady van de Filipijnen, Imelda Marcos staat in ieders geheugen gegrift als de vrouw met de vele schoenen. Lauren Greenfield volgt haar op haar missie om terug te keren in de zetel van de macht door middel van haar zoon, terwijl ze zich voordoet als weldoenster en moeder van de natie.","<p class=""film__synopsis__intro""><strong>Voormalig first lady van de Filipijnen, Imelda Marcos staat in ieders geheugen gegrift als de vrouw met de vele schoenen. Lauren Greenfield volgt haar op haar missie om terug te keren in de zetel van de macht door middel van haar zoon, terwijl ze zich voordoet als weldoenster en moeder van de natie.</strong></p><p>Voormalig first lady van de Filipijnen Imelda Marcos, weduwe van Ferdinand Marcos, staat in het collectieve geheugen gegrift als de vrouw met de enorme hoeveelheid schoenen. Bekroond filmmaker en fotograaf Lauren Greenfield (2018, Generation Wealth, 2012, Queen of Versailles) volgt deze excentrieke vrouw die zich zelfverzekerd neerzet als vaderlandslievende weldoenster, maar zo de familiegeschiedenis van macht en corruptie herschrijft. Hoe vergaat het Imelda Marcos nu? Na haar vlucht met haar man naar Haïti tijdens de volksopstand van 1986, keert ze terug uit ballingschap. Alsof er niets gebeurd is, baadt ze schaamteloos in weelde terwijl ze zich presenteert als ‘moeder van het volk’. Tegelijkertijd laat de film de verwoestende corruptie in het land zien. Geld en macht houden elkaar in evenwicht. En de prangende vraag blijft waar al dat geld vandaan komt. The Kingmaker, Imelda Marcos toont de extravagantie van een controversieel persoon, afgezet tegen de schokkende erfenis van het Marcos regime en het huidige politieke klimaat. In een tijd waarin fake-nieuws overal ter wereld verkiezingen beïnvloedt, is het verhaal van Imelda’s comeback een huiveringwekkend sprookje.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455863,https://www.de-fabriek.nl/films/300-the+kingmaker+imelda+marcos.html
2020-08-19,15:00,Hope Gap,Engels,drama,101 min,"Annette Benning, Bill Nighy, Josh O’Connor",,"<p>Grace (Annette Bening) en Edward (Bill Nighy) wonen in een klein dorp bij de klif van Hope Gap en zijn 29 jaar getrouwd. Als hun zoon Jamie (Josh O’Conner) een weekend komt logeren vertelt zijn vader hem dat hij van plan is om nog dezelfde dag zijn moeder te verlaten. Het eens zo hechte gezin wordt nu geconfronteerd met een nieuwe situatie waarin emoties als ongeloof, woede, onmacht maar ook hoop elkaar kruisen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455848,https://www.de-fabriek.nl/films/288-hope+gap.html
2020-08-17,20:30,"The Kingmaker, Imelda Marcos",Engels,documentaire,101 min,Imelda Marcos,"Voormalig first lady van de Filipijnen, Imelda Marcos staat in ieders geheugen gegrift als de vrouw met de vele schoenen. Lauren Greenfield volgt haar op haar missie om terug te keren in de zetel van de macht door middel van haar zoon, terwijl ze zich voordoet als weldoenster en moeder van de natie.","<p class=""film__synopsis__intro""><strong>Voormalig first lady van de Filipijnen, Imelda Marcos staat in ieders geheugen gegrift als de vrouw met de vele schoenen. Lauren Greenfield volgt haar op haar missie om terug te keren in de zetel van de macht door middel van haar zoon, terwijl ze zich voordoet als weldoenster en moeder van de natie.</strong></p><p>Voormalig first lady van de Filipijnen Imelda Marcos, weduwe van Ferdinand Marcos, staat in het collectieve geheugen gegrift als de vrouw met de enorme hoeveelheid schoenen. Bekroond filmmaker en fotograaf Lauren Greenfield (2018, Generation Wealth, 2012, Queen of Versailles) volgt deze excentrieke vrouw die zich zelfverzekerd neerzet als vaderlandslievende weldoenster, maar zo de familiegeschiedenis van macht en corruptie herschrijft. Hoe vergaat het Imelda Marcos nu? Na haar vlucht met haar man naar Haïti tijdens de volksopstand van 1986, keert ze terug uit ballingschap. Alsof er niets gebeurd is, baadt ze schaamteloos in weelde terwijl ze zich presenteert als ‘moeder van het volk’. Tegelijkertijd laat de film de verwoestende corruptie in het land zien. Geld en macht houden elkaar in evenwicht. En de prangende vraag blijft waar al dat geld vandaan komt. The Kingmaker, Imelda Marcos toont de extravagantie van een controversieel persoon, afgezet tegen de schokkende erfenis van het Marcos regime en het huidige politieke klimaat. In een tijd waarin fake-nieuws overal ter wereld verkiezingen beïnvloedt, is het verhaal van Imelda’s comeback een huiveringwekkend sprookje.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455852,https://www.de-fabriek.nl/films/300-the+kingmaker+imelda+marcos.html
2020-08-16,20:30,Summerland,Engels,drama,99 min,"Gemma Arterton, Gugu Mbatha-Raw, Penelope Wilton, Tom Courtenay",,"<p>Om zich te kunnen concentreren op haar werk als schrijfster in het midden van WOII, sluit de jonge ambitieuze Alice (Gemma A.) zich op in haar werkkamer op de kliffen van Dover. Afgesloten van de buitenwereld probeert ze wetenschappelijk bewijs te vinden dat mythes en magie niet bestaan. Haar isolement wordt doorbroken wanneer ze de zorg voor de jonge, uit Londen gevluchte Frank op zich moet nemen. Door zijn onschuld en nieuwsgierigheid komen emoties en geheimen uit het verleden naar boven die ze lange tijd heeft proberen te onderdrukken.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455842,https://www.de-fabriek.nl/films/417-summerland.html
2020-08-16,20:15,Gli anni più belli,Italiaans,drama,129 min,"Pierfrancesco Favino, Kim Rossi Stuart, Micaela Ramazzotti, Claudio Santamaria","Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar.","<p class=""film__synopsis__intro""><strong>Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar.</strong></p><p>Gli anni più belli (“de mooiste jaren”) is een zomerse Italiaanse film over vriendschap, familie en het leven, waarin we vier vrienden volgen gedurende 40 jaar. Giulio (Pierfrancesco Favino), Gemma (Micaela Ramazzotti), Paolo (Kim Rossi Stuart) en Riccardo (Claudio Santamaria) zijn sinds hun jeugd in de jaren '80 hecht bevriend. Samen groeien ze op, gaan ze door de puberteit en worden ze volwassen. Ze delen momenten van liefde en succes, maar kennen ook tijden van teleurstellingen.Naarmate de jaren verstrijken verliezen de vier vrienden elkaar regelmatig uit het oog, om elkaar steeds weer terug te vinden. Hun vriendschap ontvouwt zich in de schaduw van de Italiaanse geschiedenis van de laatste vier decennia. Na het succes van A Casa Tutti Bene uit 2018 keert regisseur Gabriele Muccino terug in de bioscoop met Gli anni più belli. Na de première in zijn thuisland is de film in Italië uitgegroeid tot een grote bioscoophit.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455855,https://www.de-fabriek.nl/films/411-gli+anni+piu+belli.html
2020-08-17,20:15,Hope Gap,Engels,drama,101 min,"Annette Benning, Bill Nighy, Josh O’Connor",,"<p>Grace (Annette Bening) en Edward (Bill Nighy) wonen in een klein dorp bij de klif van Hope Gap en zijn 29 jaar getrouwd. Als hun zoon Jamie (Josh O’Conner) een weekend komt logeren vertelt zijn vader hem dat hij van plan is om nog dezelfde dag zijn moeder te verlaten. Het eens zo hechte gezin wordt nu geconfronteerd met een nieuwe situatie waarin emoties als ongeloof, woede, onmacht maar ook hoop elkaar kruisen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455846,https://www.de-fabriek.nl/films/288-hope+gap.html
2020-08-16,17:15,Hope Gap,Engels,drama,101 min,"Annette Benning, Bill Nighy, Josh O’Connor",,"<p>Grace (Annette Bening) en Edward (Bill Nighy) wonen in een klein dorp bij de klif van Hope Gap en zijn 29 jaar getrouwd. Als hun zoon Jamie (Josh O’Conner) een weekend komt logeren vertelt zijn vader hem dat hij van plan is om nog dezelfde dag zijn moeder te verlaten. Het eens zo hechte gezin wordt nu geconfronteerd met een nieuwe situatie waarin emoties als ongeloof, woede, onmacht maar ook hoop elkaar kruisen.</p>",https://tickets.de-fabriek.nl/fabriek/nl/flow_configs/webshop/steps/start/show/455843,https://www.de-fabriek.nl/films/288-hope+gap.html
